domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF00202,4,3,13,0.8125,13.788,-0.788,0.9045168474887177,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Aminotran_3,Aminotransferase class-III,CL0061,PLP_aminotran
PF00027,4,3,13,0.8125,13.857,-0.857,0.9127433089979997,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,cNMP_binding,Cyclic nucleotide-binding domain,CL0029,Cupin
PF00266,4,3,13,0.8125,13.857,-0.857,0.9127433089979997,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Aminotran_5,Aminotransferase class-V,CL0061,PLP_aminotran
PF01521,4,3,13,0.8125,13.857,-0.857,0.9127433089979997,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,Fe-S_biosyn,Iron-sulphur cluster biosynthesis,CL0980,HesB-like
PF08246,7,4,12,0.75,13.041,-1.041,0.9119236990425571,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vinckei; Plasmodium vivax,0.9999590328186712,False,Inhibitor_I29,Cathepsin propeptide inhibitor domain (I29),,
PF00670,3,3,13,0.8125,14.082,-1.082,0.9539271682043715,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,AdoHcyase_NAD,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",CL0063,NADP_Rossmann
PF05221,3,3,13,0.8125,14.082,-1.082,0.9539271682043715,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,AdoHcyase,S-adenosyl-L-homocysteine hydrolase,CL0063,NADP_Rossmann
PF00889,3,3,13,0.8125,14.093,-1.093,0.9549028305739773,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium chabaudi; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,EF_TS,Elongation factor TS,,
PF02475,3,3,13,0.8125,14.106,-1.106,0.9566362546361851,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,TRM5-TYW2_MTfase,TRM5/TYW2 methyltransferase domain,CL0063,NADP_Rossmann
PF03853,3,3,13,0.8125,14.106,-1.106,0.9566362546361851,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,YjeF_N,YjeF-related protein N-terminus,CL0063,NADP_Rossmann
PF05301,3,3,13,0.8125,14.106,-1.106,0.9566362546361851,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,Acetyltransf_16,"GNAT acetyltransferase, Mec-17",CL0257,Acetyltrans
PF25133,3,3,13,0.8125,14.106,-1.106,0.9566362546361851,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax,0.9999590328186712,False,TYW2_N_2,TYW2 N-terminal domain,,
PF02798,3,3,13,0.8125,14.117,-1.117,0.9576901997669479,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,GST_N,"Glutathione S-transferase, N-terminal domain",CL0172,Thioredoxin
PF14497,3,3,13,0.8125,14.117,-1.117,0.9576901997669479,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium falciparum; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,GST_C_3,"Glutathione S-transferase, C-terminal domain",CL0497,GST_C
PF00115,3,3,13,0.8125,14.131,-1.131,0.9567061383194614,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum,0.9999590328186712,False,COX1,Cytochrome C and Quinol oxidase polypeptide I,CL0714,COX1-like
PF13656,3,3,13,0.8125,14.131,-1.131,0.9567061383194614,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium chabaudi; Plasmodium falciparum,0.9999590328186712,False,RNA_pol_L_2,RNA polymerase Rpb3/Rpb11 dimerisation domain,CL0509,RBP11-like
PF00092,3,3,13,0.8125,14.155,-1.155,0.9593515484060119,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,VWA,von Willebrand factor type A domain,CL0128,vWA-like
PF13202,3,3,13,0.8125,14.155,-1.155,0.9593515484060119,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,EF-hand_5,EF hand,CL0220,EF_hand
PF02657,3,3,13,0.8125,14.166,-1.166,0.9601974723957747,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,SufE,Fe-S metabolism associated domain,CL0233,SufE_NifU
PF10250,3,3,13,0.8125,14.166,-1.166,0.9601974723957747,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,O-FucT,GDP-fucose protein O-fucosyltransferase,CL0113,GT-B
PF00009,6,4,12,0.75,13.298,-1.298,0.9479441145755959,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,GTP_EFTU,Elongation factor Tu GTP binding domain,CL0023,P-loop_NTPase
PF05424,6,4,12,0.75,13.33,-1.33,0.9534967717214329,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium ovale; Plasmodium vivax,0.9999590328186712,False,Duffy_binding,Duffy binding domain,CL0195,DBL
PF11556,6,4,12,0.75,13.33,-1.33,0.9534967717214329,3,4,0.5714,Laverania (ape); avian; primate (simian); rodent,Plasmodium falciparum; Plasmodium knowlesi; Plasmodium ovale; Plasmodium vivax,0.9999590328186712,False,EBA-175_VI,Erythrocyte binding antigen 175,,
PF00083,5,4,12,0.75,13.611,-1.611,0.9752621560733022,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Sugar_tr,Sugar (and other) transporter,CL0015,MFS
PF06247,4,4,12,0.75,13.786,-1.786,0.9835428047896511,4,3,0.4286,"primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium gallinaceum; Plasmodium reichenowi,0.9999590328186712,False,Plasmod_Pvs28,Pvs28 EGF domain,CL0001,EGF
PF00679,4,4,12,0.75,13.836,-1.836,0.9871468716832692,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,EFG_C,Elongation factor G C-terminus,CL0437,EF-G_C
PF01015,4,4,12,0.75,13.836,-1.836,0.9871468716832692,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Ribosomal_S3Ae,Ribosomal S3Ae family,,
PF04055,4,4,12,0.75,13.836,-1.836,0.9871468716832692,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,Radical_SAM,Radical SAM superfamily,CL0036,TIM_barrel
PF06421,4,4,12,0.75,13.836,-1.836,0.9871468716832692,4,3,0.4286,Laverania (ape); avian; primate (simian),Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax; Plasmodium yoelii,0.9999590328186712,False,LepA_C,GTP-binding protein LepA C-terminus,,
